
Analise  de Dados com Kruskal-Wallis para amostras nao parametricas
    algo  ab       tmin nfo     time
131 DE12  12 0.05374993  45 15.55562
132 DE12  16 0.05222654  45 16.76854
133 DE12  14 0.05151055  45 15.30465
134 DE12  16 0.05222654  45 15.32173
135 DE12  13 0.05262561  45 15.21730
136 DE12  17 0.05306956  45 15.34031
137 DE12  14 0.05151055  45 15.25999
138 DE12  13 0.05262561  45 15.05194
139 DE12  16 0.05222654  45 15.96333
140 DE12  14 0.05151055  45 14.96567
141 DE12  17 0.05306956  45 15.11110
142 DE12  15 0.05137355  45 15.74680
143 DE12  13 0.05262561  45 20.95834
144 DE12  15 0.05137355  45 14.96829
145 DE12  13 0.05262561  45 15.74912
146 DE12  12 0.05374993  45 16.09740
147 DE12  14 0.05151055  45 15.00446
148 DE12  16 0.05222654  45 15.24507
149 DE12  15 0.05137355  45 15.41476
150 DE12  15 0.05137355  45 15.61287
151 DE22   7 0.05946044  45 19.09220
152 DE22  15 0.05137355  45 18.04133
153 DE22  15 0.05137355  45 15.23157
154 DE22  10 0.05601938  45 15.25483
155 DE22  15 0.05137355  45 15.00353
156 DE22  15 0.05137355  45 14.75661
157 DE22  16 0.05222654  45 15.71502
158 DE22  14 0.05151055  45 15.32505
159 DE22  14 0.05151055  45 14.88967
160 DE22  10 0.05601938  45 14.78469
161 DE22  15 0.05137355  45 16.25773
162 DE22  15 0.05137355  45 16.09622
163 DE22  16 0.05222654  45 14.67407
164 DE22  13 0.05262561  45 15.35198
165 DE22  14 0.05151055  45 14.76955
166 DE22  15 0.05137355  45 15.03895
167 DE22  15 0.05137355  45 15.22589
168 DE22  17 0.05306956  45 15.09639
169 DE22  14 0.05151055  45 14.71507
170 DE22  15 0.05137355  45 15.08431
171 DE22  15 0.05137355  45 15.30916
172 DE22  15 0.05137355  45 15.86081
173 DE22  15 0.05137355  45 21.06888
174 DE22  13 0.05262561  45 15.99100
175 DE22  16 0.05222654  45 15.23343
176 DE22  15 0.05137355  45 16.52097
177 DE22  17 0.05306956  45 18.03109
178 DE22  16 0.05222654  45 15.22055
179 DE22  12 0.05374993  45 15.40363
180 DE22  21 0.05634866  45 16.51402
181 DE32  15 0.05137355  45 18.64637
182 DE32  26 0.06026992  45 15.59303
